B1LG TAA 
XGXD fmd 
XHLG AAH 
XHLF aah 
XHLH AAI 
XHLI aai 
XHLN AAJ 
XHLM aaj 
XIJG TPA 
XIJF tpa 
XIJH TPB 
XIJI tpb 
XIJN TPC 
XIJM tpc 
XIJA TPD 
XIJB tpd 
XKPB DKG 
XKPC dkg 
XKPD DKH 
XKPE dkh 
XLLG QBA 
XLLF qba 
XLLH QDA 
XLLI qda 
XMLG TEX 
XMLF tex 
XMLH TFX 
XMLI tfx 
XMLN TGX 
XMLM tgx 
XMLA THX 
XMLB thx 
XNXE ODH 
XNXD odh 
XOPB DLG 
XOPC dlg 
XOPD DLH 
XOPE dlh 
XPLG QDB 
XPLF qdb 
XPLH QDC 
XPLI qdc 
XPLN QDD 
XPLM qdd 
XQLG TIH 
XQLF tih 
XQLH TJH 
XQLI tjh 
XQLN TKH 
XQLM tkh 
XQLA TLH 
XQLB tlh 
XRXE OEH 
XRXD oeh 
XSPB DMG 
XSPC dmg 
XSPD DMH 
XSPE dmh 
XTXE QFG 
XTXD qfg 
XTXF QFH 
XTXG qfh 
XUJG TPE 
XUJF tpe 
XUJH TPF 
XUJI tpf 
XUJN TPG 
XUJM tpg 
XUJA TPH 
XUJB tph 
XVXE OFH 
XVXD ofh 
XWPB DNG 
XWPC dng 
XWPD DNH 
XWPE dnh 
XXLG QBB 
XXLF qbb 
XXLH QBC 
XXLI qbc 
XXLN QBD 
XXLM qbd 
XXLA QBE 
XXLB qbe 
