A1XE JMA 
UNXE ODJ 
UNXD odj 
UOXE ODK 
UOXD odk 
UQXE OAG 
UQXD oag 
URXE OAO 
URXD oao 
USXE OBG 
USXD obg 
UTXE OBO 
UTXD obo 
UUXE OCG 
UUXD ocg 
UWXE OCO 
UWXD oco 
UXXE ODG 
UXXD odg 
WAAD CAH 
WAAE cah 
WBAD CBH 
WBAE cbh 
WCAD CCH 
WCAE cch 
WDAD CDH 
WDAE cdh 
WEAD CEH 
WEAE ceh 
WFAD CFH 
WFAE cfh 
WGAD CGH 
WGAE cgh 
WHAD CHH 
WHAE chh 
WIXE MAH 
WIXD mah 
WJXE MBH 
WJXD mbh 
WKXE MCH 
WKXD mch 
WLXE MDH 
WLXD mdh 
WMXE MEH 
WMXD meh 
WNXE MFH 
WNXD mfh 
WOXE MGH 
WOXD mgh 
WPXE MHH 
WPXD mhh 
XQXE OAH 
XQXD oah 
XRXE OAP 
XRXD oap 
XSXE OBH 
XSXD obh 
XTXE OBP 
XTXD obp 
XUXE OCH 
XUXD och 
XVXE OCP 
XVXD ocp 
XWXE ODH 
XWXD odh 
