ACME haa 
XNMD qgl 
XOXE OOG 
XOXD oog 
XOXF OOH 
XOXG ooh 
XPXE OOO 
XPXD ooo 
XPXF OOP 
XPXG oop 
XQXE QGB 
XQXD qgb 
XQXF QHB 
XQXG qhb 
XRXE qga 
XRXD QGA 
XRXF qha 
XRXG QHA 
XSLG qgn 
XSLF QGN 
XTPB QGC 
XTPC qgc 
XUAD JGD 
XUAE jgd 
XVME LGD 
XVMD lgd 
XVMF LHD 
XVMG lhd 
XWPB QGD 
XWPC qgd 
XXME QNB 
XXMD qnb 
