A1SA MAG 
TKMH pbg 
TMXE RAG 
TMXD rag 
TMXF RAO 
TMXG rao 
TPLG RBG 
TPLF rbg 
TPLH RCG 
TPLI rcg 
TPLN RDG 
TPLM rdg 
TPLA REG 
TPLB reg 
TRII tai 
TRIH TAI 
TTLG gag 
TTLF GAG 
TTLH gcg 
TTLI GCG 
TTLN RFG 
TTLM rfg 
TTLA RGG 
TTLB rgg 
TUAD lag 
TUAE LAG 
TVWD ZZD 
TVWE zzd 
TXME QBE 
TXMD qbe 
U2LG QBF 
U2LF qbf 
U2LH QBL 
U2LI qbl 
U2LN QNR 
U2LM qnr 
U2LA QSP 
U2LB qsp 
U3LG ODK 
U3LF odk 
U3LH OGE 
U3LI oge 
U3LN QBD 
U3LM qbd 
U3LA QSO 
U3LB qso 
U4LG OGA 
U4LF oga 
U4LH OGB 
U4LI ogb 
U4LN OGC 
U4LM ogc 
U4LA OGD 
U4LB ogd 
U8LG OCG 
U8LF ocg 
UAME KAG 
UAMD kag 
UCPB DBG 
UCPC dbg 
UCPD DCG 
UCPE dcg 
UDME OAG 
UDMD oag 
UEME KAO 
UEMD kao 
UFME PEC 
UFMD pec 
UFMF PFC 
UFMG pfc 
UGWD DAG 
UGWE dag 
UHME OAO 
UHMD oao 
UIME KBG 
UIMD kbg 
UJBI EBG 
UJBH ebg 
UKME CAG 
UKMD cag 
UKMF CBG 
UKMG cbg 
ULME OBG 
ULMD obg 
UMME KBO 
UMMD kbo 
UPME OBO 
UPMD obo 
UQTB QVB 
UQTA qvb 
USII JQC 
USIH jqc 
UTLG OFG 
UTLF ofg 
UTLH OHG 
UTLI ohg 
UTLN QSQ 
UTLM qsq 
UVPB qnc 
UVPC QNC 
UWPB QSC 
UWPC qsc 
UWPD QSK 
UWPE qsk 
UXWD DAK 
UXWE dak 
V1SA MDG 
V1SZ mdg 
V4LG QRI 
V4LF qri 
V4LH QRJ 
V4LI qrj 
V4LN QRK 
V4LM qrk 
V4LA QRL 
V4LB qrl 
V5SA MDH 
V5SZ mdh 
V6SA MDI 
V6SZ mdi 
V8LG QRM 
V8LF qrm 
V8LH QRN 
V8LI qrn 
V8LN QRO 
V8LM qro 
VASA MDA 
VASZ mda 
VBII fha 
VBIH FHA 
VBIE fhb 
VBID FHB 
VESA MDB 
VESZ mdb 
VFII fhc 
VFIH FHC 
VFIE fhd 
VFID FHD 
VISA MDC 
VISZ mdc 
VJII fhe 
VJIH FHE 
VJIE fhf 
VJID FHF 
VMSA MDD 
VMSZ mdd 
VNII fhg 
VNIH FHG 
VNIE fhh 
VNID FHH 
VOJG jmh 
VOJF JMH 
VOJH jnh 
VOJI JNH 
VQSA MDE 
VQSZ mde 
VRII fhi 
VRIH FHI 
VRIE fhj 
VRID FHJ 
VSME VAH 
VSMD vah 
VSMF VBH 
VSMG vbh 
VTLG QRA 
VTLF qra 
VTLH QRB 
VTLI qrb 
VTLN QRC 
VTLM qrc 
VTLA QRD 
VTLB qrd 
VUSA MDF 
VUSZ mdf 
VVII fhk 
VVIH FHK 
VVIE fhl 
VVID FHL 
VXLG QRE 
VXLF qre 
VXLH QRF 
VXLI qrf 
VXLN QRG 
VXLM qrg 
VXLA QRH 
VXLB qrh 
W1HG jfg 
W1HF JFG 
W1HH jff 
W1HI JFF 
W2WD ZZE 
W2WE zze 
W3LG QNI 
W3LF qni 
W3LH QNJ 
W3LI qnj 
W3LN QNK 
W3LM qnk 
W3LA QNL 
W3LB qnl 
W5HG jfh 
W5HF JFH 
W5HH jfi 
W5HI JFI 
W6WD ZZF 
W6WE zzf 
WBWD ZZA 
WBWE zza 
WCPB HAH 
WCPC hah 
WDLG NAH 
WDLF nah 
WDLH NAP 
WDLI nap 
WDLN NBH 
WDLM nbh 
WDLA NBP 
WDLB nbp 
WFWD ZZB 
WFWE zzb 
WHLG qrr 
WHLF QRR 
WIHG uah 
WIHF UAH 
WIHH zzo 
WIHI ZZO 
WJWD ZZC 
WJWE zzc 
WKME PAH 
WKMD pah 
WKMF PAP 
WKMG pap 
WKMI PBH 
WKMH pbh 
WMXE RAH 
WMXD rah 
WMXF RAP 
WMXG rap 
WPLG RBH 
WPLF rbh 
WPLH RCH 
WPLI rch 
WPLN RDH 
WPLM rdh 
WQWD RAQ 
WQWE raq 
WRII LAQ 
WRIH laq 
WTLG gah 
WTLF GAH 
WTLH gai 
WTLI GAI 
WUAD lah 
WUAE LAH 
WVWD ZZD 
WVWE zzd 
WWLG QNM 
WWLF qnm 
WWLH QNN 
WWLI qnn 
WWLN QNO 
WWLM qno 
WWLA QNP 
WWLB qnp 
X3LG QNF 
X3LF qnf 
X3LH OCH 
X3LI och 
X4PB ohi 
X4PC OHI 
X4PD qne 
X4PE QNE 
X8ME OFK 
X8MD ofk 
X8MF QDB 
X8MG qdb 
XAME KAH 
XAMD kah 
XBME QRP 
XBMD qrp 
XBMF QRQ 
XBMG qrq 
XCPB DBH 
XCPC dbh 
XCPD DCH 
XCPE dch 
XDME OAH 
XDMD oah 
XEME KAP 
XEMD kap 
XFME PED 
XFMD ped 
XFMF PFD 
XFMG pfd 
XGWD DAH 
XGWE dah 
XHME OAP 
XHMD oap 
XIME KBH 
XIMD kbh 
XJBI EBH 
XJBH ebh 
XKME CAH 
XKMD cah 
XKMF CBH 
XKMG cbh 
XLME OBH 
XLMD obh 
XMME KBP 
XMMD kbp 
XNJG tke 
XNJF TKE 
XNJH tle 
XNJI TLE 
XPME OBP 
XPMD obp 
XQTB QVC 
XQTA qvc 
XSME OFL 
XSMD ofl 
XSMF QDC 
XSMG qdc 
XTLG OFH 
XTLF ofh 
XTLH OHH 
XTLI ohh 
XUQF JNI 
XUQG jni 
XVPB qnd 
XVPC QND 
XVPD QNG 
XVPE qng 
XWPB QSD 
XWPC qsd 
XWPD QSL 
XWPE qsl 
XXWD DAL 
XXWE dal 
